Sample Name,Number_of_Microglia_CD68_Positive,Number_of_Microglia_CD107a_Positive,Number_of_Microglia_C5ar1_Positive,Number_of_Microglia_Total,Mean_Fluorescent_Intensity_of_CD11b_in_CD68_Positive_Cells,Mean_Fluorescent_Intensity_of_CD11b_in_CD107a_Positive_Cells,Mean_Fluorescent_Intensity_of_CD11b_in_C5aR1_Positive_Cells,Mean_Fluorescent_Intensity_of_CD11b_Average,Mean_Fluorescent_Intensity_of_CD11b_Standardized_to_Sham,Mean_Fluorescent_Intensity_of_CD45_in_CD68_Positive_Cells,Mean_Fluorescent_Intensity_of_CD45_in_CD107a_Positive_Cells,Mean_Fluorescent_Intensity_of_CD45_in_C5aR1_Positive_Cells,Mean_Fluorescent_Intensity_of_CD45_Average,Mean_Fluorescent_Intensity_of_CD45_Standardized_to_Sham,Mean_Fluorescent_Intensity_of_CD68_in_Microglial_Population,Mean_Fluorescent_Intensity_of_CD107a_in_Microglial_Population,Mean_Fluorescent_Intensity_of_C5aR1_in_Microglial_Population
267_Microglia_12months,7435,6566,4017,18018,2506,2538,1941,2328.333333,1.093114241,2104,2687,2568,2453,1.185692419,1.22124834,1.246284956,1.02790217
268_Microglia_12months,8131,7783,5121,21035,2519,2496,1891,2302,1.080751174,2131,2681,2549,2453.666667,1.186014662,1.155909695,1.229583315,1.018256976
269_Microglia_12months,6903,7453,946,15302,2594,2623,1881,2366,1.005667328,2372,3592,4466,3476.666667,1.135732564,1.198487713,1.326134411,1.074874328
270_Microglia_12months,8281,9084,1172,18537,2844,2766,1987,2532.333333,1.076367243,2393,3463,4023,3293,1.075733653,1.291115312,1.152430282,1.140135814
271_Microglia_12months,6047,6188,3540,15775,2640,2585,2009,2411.333333,1.132081377,2080,2568,2560,2402.666667,1.161363087,1.010358566,0.897177851,1.217705822
272_Microglia_12months,7872,6639,5151,19662,2543,2437,1910,2296.666667,1.078247261,1975,2407,2383,2255,1.089986305,1.060292165,0.861804634,1.133310369
273_Microglia_12months,8026,7057,1033,16116,2887,2697,2020,2534.666667,1.077359025,2217,3271,4354,3280.666667,1.071704688,1.187523629,0.914090856,1.16412382
274_Microglia_12months,10702,10767,779,22248,2767,2641,1882,2430,1.032870502,2112,3104,4095,3103.666667,1.013883596,1.018147448,0.805228691,1.131316695
277_Microglia_12months,10015,8887,1121,20023,2841,2753,1966,2520,1.071124965,2426,3446,4267,3379.666667,1.104045299,1.037429112,1.13310686,1.04418379
279_Microglia_12months,7608,7479,4305,19392,2334,2263,1721,2106,0.988732394,1830,2300,2216,2115.333333,1.022476436,0.964143426,0.972463706,1.009989666
280_Microglia_12months,7575,7107,4750,19432,2367,2305,1790,2154,1.011267606,1747,2212,2108,2022.333333,0.977523564,1.035856574,1.027536294,0.990010334
281_Microglia_12months,10618,8149,1127,19894,2554,2425,1731,2236.666667,0.950694248,2007,2800,3615,2807.333333,0.917079545,1.002268431,0.895852439,0.957050886
282_Microglia_12months,9291,10039,1044,20374,2635,2631,1875,2380.333333,1.011759705,2120,3177,3827,3041.333333,0.993520989,1.031758034,1.078804945,1.014198783
283_Microglia_12months,8595,10015,1106,19716,2531,2468,1822,2273.666667,0.966421082,2044,2975,4030,3016.333333,0.985354168,0.928544423,0.892235756,0.98456654
3_Microglia_14months,5559,4615,1558,11732,1653,1965,864,1494,1.00538358,455,859,1358,890.6666667,0.952245189,1.035251582,1.000166449,0.993078759
4_Microglia_14months,3622,4262,3157,11041,1998,2435,1703,2045.333333,1.091523615,484,948,1154,862,1.032953865,1.115092291,1.09269702,1.010647412
5_Microglia_14months,4685,4581,2040,11306,1710,1936,887,1511,1.016823688,462,883,1332,892.3333333,0.954027085,1.034347695,0.996457021,0.967064439
6_Microglia_14months,4815,6064,2118,12997,1544,1884,1315,1581,1.028738749,484,677,407,522.6666667,1.058744092,1.062782365,1.110296364,1.141773821
8_Microglia_14months,7218,7877,2725,17820,1486,1884,1236,1535.333333,0.999023967,547,677,498,574,1.162727887,1.040972114,1.126489459,1.111770524
